date_added,headquarters,sector,security,symbol
2020-04-03,"Palm Beach Gardens, Florida",Industrials,Carrier Global,CARR
2020-09-21,"Somerset, New Jersey",Health Care,Catalent,CTLT
1957-03-04,"Irving, Texas",Industrials,Caterpillar Inc.,CAT
2017-03-01,"Chicago, Illinois",Financials,Cboe Global Markets,CBOE
2006-11-10,"Dallas, Texas",Real Estate,CBRE Group,CBRE
2019-09-23,"Lincolnshire, Illinois",Information Technology,CDW,CDW
2018-12-24,"Irving, Texas",Materials,Celanese,CE
2001-08-30,"Conshohocken, Pennsylvania",Health Care,Cencora,COR
2016-03-30,"St. Louis, Missouri",Health Care,Centene Corporation,CNC
1985-07-31,"Houston, Texas",Utilities,CenterPoint Energy,CNP
2008-08-27,"Deerfield, Illinois",Materials,CF Industries,CF
2007-03-02,"Eden Prairie, Minnesota",Industrials,CH Robinson,CHRW
2021-05-14,"Wilmington, Massachusetts",Health Care,Charles River Laboratories,CRL
1997-06-02,"Westlake, Texas",Financials,Charles Schwab Corporation,SCHW
2016-09-08,"Stamford, Connecticut",Communication Services,Charter Communications,CHTR
1957-03-04,"San Ramon, California",Energy,Chevron Corporation,CVX
2011-04-28,"Newport Beach, California",Consumer Discretionary,Chipotle Mexican Grill,CMG
2010-07-15,"Zurich, Switzerland",Financials,Chubb Limited,CB
2015-12-29,"Ewing, New Jersey",Consumer Staples,Church & Dwight,CHD
1976-06-30,"Bloomfield, Connecticut",Health Care,Cigna,CI
1997-12-18,"Fairfield, Ohio",Financials,Cincinnati Financial,CINF
2001-03-01,"Mason, Ohio",Industrials,Cintas,CTAS
1993-12-01,"San Jose, California",Information Technology,Cisco,CSCO
1988-05-31,"New York City, New York",Financials,Citigroup,C
2016-01-29,"Providence, Rhode Island",Financials,Citizens Financial Group,CFG
1969-03-31,"Oakland, California",Consumer Staples,Clorox,CLX
2006-08-11,"Chicago, Illinois",Financials,CME Group,CME
1957-03-04,"Jackson, Michigan",Utilities,CMS Energy,CMS
1957-03-04,"Atlanta, Georgia",Consumer Staples,Coca-Cola Company (The),KO
2006-11-17,"Teaneck, New Jersey",Information Technology,Cognizant,CTSH
1957-03-04,"New York City, New York",Consumer Staples,Colgate-Palmolive,CL
2002-11-19,"Philadelphia, Pennsylvania",Communication Services,Comcast,CMCSA
1995-12-01,"Dallas, Texas",Financials,Comerica,CMA
1983-08-31,"Chicago, Illinois",Consumer Staples,Conagra Brands,CAG
1957-03-04,"Houston, Texas",Energy,ConocoPhillips,COP
1957-03-04,"New York City, New York",Utilities,Consolidated Edison,ED
2005-07-01,"Victor, New York",Consumer Staples,Constellation Brands,STZ
2022-02-02,"Baltimore, Maryland",Utilities,Constellation Energy,CEG
2016-09-23,"San Ramon, California",Health Care,CooperCompanies,COO
2018-07-02,"Dallas, Texas",Industrials,Copart,CPRT
1995-02-27,"Corning, New York",Information Technology,Corning Inc.,GLW
2019-06-03,"Indianapolis, Indiana",Materials,Corteva,CTVA
2022-09-19,"Washington, D.C.",Real Estate,CoStar Group,CSGP
1993-10-01,"Issaquah, Washington",Consumer Staples,Costco,COST
2008-06-23,"Houston, Texas",Energy,Coterra,CTRA
2012-03-14,"Houston, Texas",Real Estate,Crown Castle,CCI
1957-03-04,"Jacksonville, Florida",Industrials,CSX,CSX
1965-03-31,"Columbus, Indiana",Industrials,Cummins,CMI
1957-03-04,"Woonsocket, Rhode Island",Health Care,CVS Health,CVS
1998-11-18,"Washington, D.C.",Health Care,Danaher Corporation,DHR
1995-05-31,"Orlando, Florida",Consumer Discretionary,Darden Restaurants,DRI
2008-07-31,"Denver, Colorado",Health Care,DaVita Inc.,DVA
2021-09-20,"Minneapolis, Minnesota",Industrials,Dayforce,DAY
1957-03-04,"Moline, Illinois",Industrials,John Deere,DE
2013-09-11,"Atlanta, Georgia",Industrials,Delta Air Lines,DAL
2008-11-14,"Charlotte, North Carolina",Health Care,Dentsply Sirona,XRAY
2000-08-30,"Oklahoma City, Oklahoma",Energy,Devon Energy,DVN
2020-05-12,"San Diego, California",Health Care,Dexcom,DXCM
2018-12-03,"Midland, Texas",Energy,Diamondback Energy,FANG
2016-05-18,"Austin, Texas",Real Estate,Digital Realty,DLR
2007-07-02,"Riverwoods, Illinois",Financials,Discover Financial,DFS
2012-12-03,"Goodlettsville, Tennessee",Consumer Staples,Dollar General,DG
2011-12-19,"Chesapeake, Virginia",Consumer Staples,Dollar Tree,DLTR
2016-11-30,"Richmond, Virginia",Utilities,Dominion Energy,D
2020-05-12,"Ann Arbor, Michigan",Consumer Discretionary,Domino's,DPZ
1985-10-31,"Downers Grove, Illinois",Industrials,Dover Corporation,DOV
2019-04-01,"Midland, Michigan",Materials,Dow Inc.,DOW
2005-06-22,"Arlington, Texas",Consumer Discretionary,DR Horton,DHI
1957-03-04,"Detroit, Michigan",Utilities,DTE Energy,DTE
1976-06-30,"Charlotte, North Carolina",Utilities,Duke Energy,DUK
2019-04-02,"Wilmington, Delaware",Materials,DuPont,DD
1994-01-01,"Kingsport, Tennessee",Materials,Eastman Chemical Company,EMN
1957-03-04,"Dublin, Ireland",Industrials,Eaton Corporation,ETN
2002-07-22,"San Jose, California",Consumer Discretionary,eBay,EBAY
1989-01-31,"Saint Paul, Minnesota",Materials,Ecolab,ECL
1957-03-04,"Rosemead, California",Utilities,Edison International,EIX
2011-04-01,"Irvine, California",Health Care,Edwards Lifesciences,EW
2002-07-22,"Redwood City, California",Communication Services,Electronic Arts,EA
2002-07-25,"Indianapolis, Indiana",Health Care,Elevance Health,ELV
1970-12-31,"Indianapolis, Indiana",Health Care,Eli Lilly and Company,LLY
1965-03-31,"Ferguson, Missouri",Industrials,Emerson Electric,EMR
2021-01-07,"Fremont, California",Information Technology,Enphase,ENPH
1957-03-04,"New Orleans, Louisiana",Utilities,Entergy,ETR
2000-11-02,"Houston, Texas",Energy,EOG Resources,EOG
2021-12-14,"Newtown, Pennsylvania",Information Technology,EPAM Systems,EPAM
2022-10-03,"Pittsburgh, Pennsylvania",Energy,EQT,EQT
1997-06-19,"Atlanta, Georgia",Industrials,Equifax,EFX
2015-03-20,"Redwood City, California",Real Estate,Equinix,EQIX
2001-12-03,"Chicago, Illinois",Real Estate,Equity Residential,EQR
2014-04-02,"San Mateo, California",Real Estate,Essex Property Trust,ESS
2006-01-05,"New York City, New York",Consumer Staples,Estée Lauder Companies (The),EL
2020-09-21,"New York City, New York",Consumer Discretionary,Etsy,ETSY
2017-06-19,"Hamilton, Bermuda",Financials,Everest Re,EG
2018-06-05,"Kansas City, Missouri",Utilities,Evergy,EVRG
2009-07-24,"Hartford, Connecticut",Utilities,Eversource,ES
1957-03-04,"Chicago, Illinois",Utilities,Exelon,EXC
2007-10-02,"Seattle, Washington",Consumer Discretionary,Expedia Group,EXPE
2007-10-10,"Seattle, Washington",Industrials,Expeditors International,EXPD
2016-01-19,"Salt Lake City, Utah",Real Estate,Extra Space Storage,EXR
1957-03-04,"Irving, Texas",Energy,ExxonMobil,XOM
2010-12-20,"Seattle, Washington",Information Technology,"F5, Inc.",FFIV
2021-12-20,"Norwalk, Connecticut",Financials,FactSet,FDS
2023-03-20,"Bozeman, Montana",Information Technology,Fair Isaac,FICO
2008-09-15,"Winona, Minnesota",Industrials,Fastenal,FAST
2016-02-01,"Rockville, Maryland",Real Estate,Federal Realty,FRT
1980-12-31,"Memphis, Tennessee",Industrials,FedEx,FDX
2006-11-10,"Jacksonville, Florida",Financials,Fidelity National Information Services,FIS
1996-03-29,"Cincinnati, Ohio",Financials,Fifth Third Bank,FITB
2022-12-19,"Tempe, Arizona",Information Technology,First Solar,FSLR
1997-11-28,"Akron, Ohio",Utilities,FirstEnergy,FE
2001-04-02,"Brookfield, Wisconsin",Financials,Fiserv,FI
2018-06-20,"Atlanta, Georgia",Financials,Fleetcor,FLT
2009-08-19,"Philadelphia, Pennsylvania",Materials,FMC Corporation,FMC
1957-03-04,"Dearborn, Michigan",Consumer Discretionary,Ford Motor Company,F
2018-10-11,"Sunnyvale, California",Information Technology,Fortinet,FTNT
2016-07-01,"Everett, Washington",Industrials,Fortive,FTV
2019-03-04,"New York City, New York",Communication Services,Fox Corporation,FOXA
2019-03-04,"New York City, New York",Communication Services,Fox Corporation,FOX
1998-04-30,"San Mateo, California",Financials,Franklin Templeton,BEN
2011-07-01,"Phoenix, Arizona",Materials,Freeport-McMoRan,FCX
2012-12-12,"Schaffhausen, Switzerland",Consumer Discretionary,Garmin,GRMN
2017-04-05,"Stamford, Connecticut",Information Technology,Gartner,IT
2023-01-04,"Chicago, Illinois",Health Care,GE HealthCare,GEHC
2003-03-25,"Tempe, Arizona",Information Technology,Gen Digital,GEN
2021-03-22,"Waukesha, Wisconsin",Industrials,Generac,GNRC
1957-03-04,"Falls Church, Virginia",Industrials,General Dynamics,GD
1957-03-04,"Boston, Massachusetts",Industrials,General Electric,GE
1957-03-04,"Golden Valley, Minnesota",Consumer Staples,General Mills,GIS
2013-06-06,"Detroit, Michigan",Consumer Discretionary,General Motors,GM
1973-12-31,"Atlanta, Georgia",Consumer Discretionary,Genuine Parts Company,GPC
2004-07-01,"Foster City, California",Health Care,Gilead Sciences,GILD
2016-04-25,"Atlanta, Georgia",Financials,Global Payments,GPN
1989-04-30,"McKinney, Texas",Financials,Globe Life,GL
2002-07-22,"New York City, New York",Financials,Goldman Sachs,GS
1957-03-04,"Houston, Texas",Energy,Halliburton,HAL
1957-03-04,"Hartford, Connecticut",Financials,Hartford (The),HIG
1984-09-30,"Pawtucket, Rhode Island",Consumer Discretionary,Hasbro,HAS
2015-01-27,"Nashville, Tennessee",Health Care,HCA Healthcare,HCA
2008-03-31,"Long Beach, California",Real Estate,Healthpeak,PEAK
2015-03-17,"Melville, New York",Health Care,Henry Schein,HSIC
1957-03-04,"Hershey, Pennsylvania",Consumer Staples,Hershey's,HSY
1984-05-31,"New York City, New York",Energy,Hess Corporation,HES
2015-11-02,"Houston, Texas",Information Technology,Hewlett Packard Enterprise,HPE
2017-06-19,"Tysons Corner, Virginia",Consumer Discretionary,Hilton Worldwide,HLT
2016-03-30,"Marlborough, Massachusetts",Health Care,Hologic,HOLX
1988-03-31,"Atlanta, Georgia",Consumer Discretionary,Home Depot (The),HD
1957-03-04,"Charlotte, North Carolina",Industrials,Honeywell,HON
2009-03-04,"Austin, Minnesota",Consumer Staples,Hormel Foods,HRL
2007-03-20,"Bethesda, Maryland",Real Estate,Host Hotels & Resorts,HST
2016-10-21,"Pittsburgh, Pennsylvania",Industrials,Howmet Aerospace,HWM
1974-12-31,"Palo Alto, California",Information Technology,HP Inc.,HPQ
2023-10-18,"Shelton, Connecticut",Industrials,Hubbell Incorporated,HUBB
2012-12-10,"Louisville, Kentucky",Health Care,Humana,HUM
1997-08-28,"Columbus, Ohio",Financials,Huntington Bancshares,HBAN
2018-01-03,"Newport News, Virginia",Industrials,Huntington Ingalls Industries,HII
1957-03-04,"Armonk, New York",Information Technology,IBM,IBM
2019-08-09,"Lake Forest, Illinois",Industrials,IDEX Corporation,IEX
2017-01-05,"Westbrook, Maine",Health Care,Idexx Laboratories,IDXX
1986-02-28,"Glenview, Illinois",Industrials,Illinois Tool Works,ITW
2015-11-19,"San Diego, California",Health Care,Illumina,ILMN
2017-02-28,"Wilmington, Delaware",Health Care,Incyte,INCY
2020-03-03,"Davidson, North Carolina",Industrials,Ingersoll Rand,IR
2023-03-15,"Acton, Massachusetts",Health Care,Insulet,PODD
1976-12-31,"Santa Clara, California",Information Technology,Intel,INTC
2007-09-26,"Atlanta, Georgia",Financials,Intercontinental Exchange,ICE
1976-03-31,"New York City, New York",Materials,International Flavors & Fragrances,IFF
1957-03-04,"Memphis, Tennessee",Materials,International Paper,IP
1992-10-01,"New York City, New York",Communication Services,Interpublic Group of Companies (The),IPG
2000-12-05,"Mountain View, California",Information Technology,Intuit,INTU
2008-06-02,"Sunnyvale, California",Health Care,Intuitive Surgical,ISRG
2008-08-21,"Atlanta, Georgia",Financials,Invesco,IVZ
2022-09-19,"Dallas, Texas",Real Estate,Invitation Homes,INVH
2017-08-29,"Durham, North Carolina",Health Care,IQVIA,IQV
2009-01-06,"Boston, Massachusetts",Real Estate,Iron Mountain,IRM
2015-07-01,"Lowell, Arkansas",Industrials,J.B. Hunt,JBHT
2023-12-18,"St. Petersburg, Florida",Information Technology,Jabil,JBL
2018-11-13,"Monett, Missouri",Financials,Jack Henry & Associates,JKHY
2007-10-26,"Dallas, Texas",Industrials,Jacobs Solutions,J
1973-06-30,"New Brunswick, New Jersey",Health Care,Johnson & Johnson,JNJ
2010-08-27,"Cork, Ireland",Industrials,Johnson Controls,JCI
1975-06-30,"New York City, New York",Financials,JPMorgan Chase,JPM
2006-06-02,"Sunnyvale, California",Information Technology,Juniper Networks,JNPR
1989-09-11,"Chicago, Illinois",Consumer Staples,Kellanova,K
2023-08-25,"Skillman, New Jersey",Consumer Staples,Kenvue,KVUE
2022-06-21,"Burlington, Massachusetts",Consumer Staples,Keurig Dr Pepper,KDP
1994-03-01,"Cleveland, Ohio",Financials,KeyCorp,KEY
2018-11-06,"Santa Rosa, California",Information Technology,Keysight,KEYS
1957-03-04,"Irving, Texas",Consumer Staples,Kimberly-Clark,KMB
2006-04-04,"New Hyde Park, New York",Real Estate,Kimco Realty,KIM
2012-05-25,"Houston, Texas",Energy,Kinder Morgan,KMI
1997-09-30,"Milpitas, California",Information Technology,KLA Corporation,KLAC
2015-07-06,"Chicago, Illinois",Consumer Staples,Kraft Heinz,KHC
1957-03-04,"Cincinnati, Ohio",Consumer Staples,Kroger,KR
2008-09-22,"Melbourne, Florida",Industrials,L3Harris,LHX
2004-11-01,"Burlington, North Carolina",Health Care,LabCorp,LH
2012-06-29,"Fremont, California",Information Technology,Lam Research,LRCX
2018-12-03,"Eagle, Idaho",Consumer Staples,Lamb Weston,LW
2019-10-03,"Las Vegas, Nevada",Consumer Discretionary,Las Vegas Sands,LVS
2019-08-09,"Reston, Virginia",Industrials,Leidos,LDOS
2005-10-04,"Miami, Florida",Consumer Discretionary,Lennar,LEN
1992-07-01,"Guildford, United Kingdom",Materials,Linde plc,LIN
2019-12-23,"Beverly Hills, California",Communication Services,Live Nation Entertainment,LYV
2016-05-23,"Chicago, Illinois",Consumer Discretionary,LKQ Corporation,LKQ
1957-03-04,"Bethesda, Maryland",Industrials,Lockheed Martin,LMT
1995-05-31,"New York City, New York",Financials,Loews Corporation,L
1984-02-29,"Mooresville, North Carolina",Consumer Discretionary,Lowe's,LOW
2023-10-18,"Vancouver, Canada",Consumer Discretionary,Lululemon Athletica,LULU
2012-09-05,"Rotterdam, Netherlands",Materials,LyondellBasell,LYB
2004-02-23,"Buffalo, New York",Financials,M&T Bank,MTB
1957-03-04,"Houston, Texas",Energy,Marathon Oil,MRO
2011-07-01,"Findlay, Ohio",Energy,Marathon Petroleum,MPC
2019-07-01,"New York City, New York",Financials,MarketAxess,MKTX
1998-05-29,"Bethesda, Maryland",Consumer Discretionary,Marriott International,MAR
1987-08-31,"New York City, New York",Financials,Marsh McLennan,MMC
2014-07-02,"Raleigh, North Carolina",Materials,Martin Marietta Materials,MLM
1981-06-30,"Livonia, Michigan",Industrials,Masco,MAS
2008-07-18,"Harrison, New York",Financials,Mastercard,MA
2021-09-20,"Dallas, Texas",Communication Services,Match Group,MTCH
2003-03-20,"Hunt Valley, Maryland",Consumer Staples,McCormick & Company,MKC
1970-06-30,"Chicago, Illinois",Consumer Discretionary,McDonald's,MCD
1999-01-13,"Irving, Texas",Health Care,McKesson,MCK
1986-10-31,"Dublin, Ireland",Health Care,Medtronic,MDT
1957-03-04,"Kenilworth, New Jersey",Health Care,Merck & Co.,MRK
2013-12-23,"Menlo Park, California",Communication Services,Meta Platforms,META
2000-12-11,"New York City, New York",Financials,MetLife,MET
2016-09-06,"Columbus, Ohio",Health Care,Mettler Toledo,MTD
2017-07-26,"Paradise, Nevada",Consumer Discretionary,MGM Resorts,MGM
2007-09-07,"Chandler, Arizona",Information Technology,Microchip Technology,MCHP
1994-09-27,"Boise, Idaho",Information Technology,Micron Technology,MU
1994-06-01,"Redmond, Washington",Information Technology,Microsoft,MSFT
2016-12-02,"Memphis, Tennessee",Real Estate,Mid-America Apartment Communities,MAA
2021-07-21,"Cambridge, Massachusetts",Health Care,Moderna,MRNA
2013-12-23,"Calhoun, Georgia",Consumer Discretionary,Mohawk Industries,MHK
2022-03-02,"Long Beach, California",Health Care,Molina Healthcare,MOH
1976-06-30,"Chicago, Illinois",Consumer Staples,Molson Coors Beverage Company,TAP
2012-10-02,"Chicago, Illinois",Consumer Staples,Mondelez International,MDLZ
2021-02-12,"Kirkland, Washington",Information Technology,Monolithic Power Systems,MPWR
2012-06-28,"Corona, California",Consumer Staples,Monster Beverage,MNST
1998-07-01,"New York City, New York",Financials,Moody's Corporation,MCO
1993-07-29,"New York City, New York",Financials,Morgan Stanley,MS
2011-09-26,"Tampa, Florida",Materials,Mosaic Company (The),MOS
1957-03-04,"Chicago, Illinois",Information Technology,Motorola Solutions,MSI
2018-04-04,"New York City, New York",Financials,MSCI,MSCI
2008-10-22,"New York City, New York",Financials,"Nasdaq, Inc.",NDAQ
1999-06-25,"San Jose, California",Information Technology,NetApp,NTAP
2010-12-20,"Los Gatos, California",Communication Services,Netflix,NFLX
1969-06-30,"Denver, Colorado",Materials,Newmont,NEM
2013-08-01,"New York City, New York",Communication Services,News Corp,NWSA
2015-09-18,"New York City, New York",Communication Services,News Corp,NWS
1976-06-30,"Juno Beach, Florida",Utilities,NextEra Energy,NEE
1988-11-30,"Washington County, Oregon",Consumer Discretionary,"Nike, Inc.",NKE
2000-11-02,"Merrillville, Indiana",Utilities,NiSource,NI
2022-02-15,"Westlake, Ohio",Industrials,Nordson Corporation,NDSN
1957-03-04,"Atlanta, Georgia",Industrials,Norfolk Southern Railway,NSC
1998-01-30,"Chicago, Illinois",Financials,Northern Trust,NTRS
1957-03-04,"West Falls Church, Virginia",Industrials,Northrop Grumman,NOC
2017-10-13,"Miami, Florida",Consumer Discretionary,Norwegian Cruise Line Holdings,NCLH
2010-01-29,"Houston, Texas",Utilities,NRG Energy,NRG
1985-04-30,"Charlotte, North Carolina",Materials,Nucor,NUE
2001-11-30,"Santa Clara, California",Information Technology,Nvidia,NVDA
2019-09-26,"Reston, Virginia",Consumer Discretionary,"NVR, Inc.",NVR
2021-03-22,"Eindhoven, Netherlands",Information Technology,NXP Semiconductors,NXPI
2009-03-27,"Springfield, Missouri",Consumer Discretionary,O'Reilly Auto Parts,ORLY
1957-03-04,"Houston, Texas",Energy,Occidental Petroleum,OXY
2019-12-09,"Thomasville, North Carolina",Industrials,Old Dominion,ODFL
1997-12-31,"New York City, New York",Communication Services,Omnicom Group,OMC
2022-06-21,"Phoenix, Arizona",Information Technology,ON Semiconductor,ON
2010-03-15,"Tulsa, Oklahoma",Energy,ONEOK,OKE
1989-08-31,"Austin, Texas",Information Technology,Oracle Corporation,ORCL
2020-04-03,"Farmington, Connecticut",Industrials,Otis Worldwide,OTIS
1980-12-31,"Bellevue, Washington",Industrials,Paccar,PCAR
2017-07-26,"Lake Forest, Illinois",Materials,Packaging Corporation of America,PKG
2023-06-20,"Santa Clara, California",Information Technology,Palo Alto Networks,PANW
1994-09-30,"New York City, New York",Communication Services,Paramount Global,PARA
1985-11-30,"Cleveland, Ohio",Industrials,Parker Hannifin,PH
1998-10-01,"Penfield, New York",Industrials,Paychex,PAYX
2020-01-28,"Oklahoma City, Oklahoma",Industrials,Paycom,PAYC
2015-07-20,"San Jose, California",Financials,PayPal,PYPL
2012-10-01,"Worsley, United Kingdom",Industrials,Pentair,PNR
1957-03-04,"Purchase, New York",Consumer Staples,PepsiCo,PEP
1957-03-04,"New York City, New York",Health Care,Pfizer,PFE
2022-10-03,"San Francisco, California",Utilities,PG&E Corporation,PCG
2008-03-31,"New York City, New York",Consumer Staples,Philip Morris International,PM
2012-05-01,"Houston, Texas",Energy,Phillips 66,PSX
1999-10-04,"Phoenix, Arizona",Utilities,Pinnacle West,PNW
2008-09-24,"Irving, Texas",Energy,Pioneer Natural Resources,PXD
1988-04-30,"Pittsburgh, Pennsylvania",Financials,PNC Financial Services,PNC
2020-10-07,"Covington, Louisiana",Consumer Discretionary,Pool Corporation,POOL
1957-03-04,"Pittsburgh, Pennsylvania",Materials,PPG Industries,PPG
2001-10-01,"Allentown, Pennsylvania",Utilities,PPL Corporation,PPL
2002-07-22,"Des Moines, Iowa",Financials,Principal Financial Group,PFG
1957-03-04,"Cincinnati, Ohio",Consumer Staples,Procter & Gamble,PG
1997-08-04,"Mayfield Village, Ohio",Financials,Progressive Corporation,PGR
2003-07-17,"San Francisco, California",Real Estate,Prologis,PLD
2002-07-22,"Newark, New Jersey",Financials,Prudential Financial,PRU
1957-03-04,"Newark, New Jersey",Utilities,Public Service Enterprise Group,PEG
2021-04-20,"Boston, Massachusetts",Information Technology,PTC,PTC
2005-08-19,"Glendale, California",Real Estate,Public Storage,PSA
1984-04-30,"Atlanta, Georgia",Consumer Discretionary,PulteGroup,PHM
2015-06-11,"Greensboro, North Carolina",Information Technology,Qorvo,QRVO
2009-07-01,"Houston, Texas",Industrials,Quanta Services,PWR
1999-07-22,"San Diego, California",Information Technology,Qualcomm,QCOM
2002-12-12,"Secaucus, New Jersey",Health Care,Quest Diagnostics,DGX
2007-02-02,"New York City, New York",Consumer Discretionary,Ralph Lauren Corporation,RL
