Date,Open,High,Low,Close,Adj Close,Volume
2022-12-15,8.210000,8.353000,8.140000,8.300000,8.300000,2934400
2022-12-16,8.055000,8.130000,7.900000,7.930000,7.930000,3795900
2022-12-19,7.935000,8.400000,7.930000,8.130000,8.130000,3558400
2022-12-20,8.125000,8.300000,7.840000,8.080000,8.080000,3390300
2022-12-21,8.000000,8.070000,7.920000,8.050000,8.050000,2538200
2022-12-22,8.165000,8.200000,7.940000,8.150000,8.150000,3381400
2022-12-23,8.065000,8.370000,8.050000,8.330000,8.330000,2211000
2022-12-27,8.045000,8.200000,7.850000,7.860000,7.860000,4450000
2022-12-28,7.835000,7.970000,7.730000,7.800000,7.800000,3886100
2022-12-29,7.745000,8.040000,7.740000,7.980000,7.980000,4427700
2022-12-30,7.795000,8.300000,7.790000,8.290000,8.290000,5127000
2023-01-03,8.220000,8.240000,8.010000,8.200000,8.200000,2821600
2023-01-04,8.280000,8.450000,8.130000,8.380000,8.380000,2291400
2023-01-05,8.370000,8.490000,8.210000,8.450000,8.450000,2434500
2023-01-06,8.310000,8.690000,8.250000,8.650000,8.650000,2183800
2023-01-09,8.825000,9.830000,8.820000,9.650000,9.650000,5852900
2023-01-10,9.705000,9.950000,9.450000,9.880000,9.880000,2622300
2023-01-11,9.635000,9.960000,9.260000,9.800000,9.800000,2589500
2023-01-12,10.205000,11.240000,9.900000,10.490000,10.490000,7541300
2023-01-13,10.305000,11.430000,10.220000,11.320000,11.320000,5758000
2023-01-17,12.020000,12.450000,11.300000,11.720000,11.720000,7197600
2023-01-18,11.940000,12.000000,10.510000,10.830000,10.830000,5943800
2023-01-19,10.545000,11.870000,10.540000,11.460000,11.460000,4372600
2023-01-20,11.500000,12.250000,11.225000,12.180000,12.180000,4539600
2023-01-23,12.305000,12.820000,11.880000,12.280000,12.280000,5911400
2023-01-24,12.300000,12.350000,11.830000,11.970000,11.970000,3000400
2023-01-25,11.765000,12.190000,11.350000,12.110000,12.110000,2922900
2023-01-26,12.205000,12.310000,11.810000,12.240000,12.240000,2560500
2023-01-27,12.160000,12.560000,12.060000,12.360000,12.360000,2308500
2023-01-30,12.340000,12.430000,11.850000,11.890000,11.890000,4668200
2023-01-31,11.950000,12.270000,11.940000,12.150000,12.150000,2250300
2023-02-01,12.165000,12.690000,11.860000,12.650000,12.650000,2640000
2023-02-02,12.855000,13.300000,12.520000,12.930000,12.930000,5826800
2023-02-03,12.715000,12.880000,12.290000,12.320000,12.320000,2736000
2023-02-06,12.195000,12.250000,11.910000,11.930000,11.930000,1704700
2023-02-07,11.925000,12.180000,11.750000,12.150000,12.150000,2677600
2023-02-08,12.210000,12.220000,11.660000,11.750000,11.750000,2027100
2023-02-09,11.720000,11.790000,10.560000,10.630000,10.630000,4788900
2023-02-10,10.635000,10.830000,10.560000,10.670000,10.670000,3298900
2023-02-13,10.555000,10.650000,10.270000,10.390000,10.390000,2459600
2023-02-14,10.390000,10.930000,10.300000,10.850000,10.850000,2373200
2023-02-15,11.130000,12.250000,11.090000,12.170000,12.170000,3389800
2023-02-16,12.025000,12.680000,11.880000,11.890000,11.890000,4128000
2023-02-17,11.660000,12.280000,11.630000,12.200000,12.200000,3461600
2023-02-21,12.200000,12.280000,11.850000,11.880000,11.880000,2418500
2023-02-22,11.710000,11.880000,11.290000,11.580000,11.580000,3081800
2023-02-23,11.895000,11.920000,11.580000,11.890000,11.890000,1554900
2023-02-24,11.785000,11.860000,11.200000,11.460000,11.460000,1868200
2023-02-27,11.735000,11.920000,11.420000,11.490000,11.490000,1214800
2023-02-28,11.470000,11.770000,11.430000,11.540000,11.540000,1095300
2023-03-01,11.665000,11.880000,11.510000,11.510000,11.510000,1382300
2023-03-02,11.495000,11.560000,11.230000,11.510000,11.510000,1268600
2023-03-03,11.015000,11.510000,10.890000,11.250000,11.250000,2982900
2023-03-06,11.230000,11.890000,11.140000,11.770000,11.770000,2831700
2023-03-07,11.770000,13.490000,11.400000,12.900000,12.900000,8000000
2023-03-08,12.650000,13.540000,12.500000,13.240000,13.240000,4688000
2023-03-09,13.055000,13.180000,11.710000,11.800000,11.800000,4156700
2023-03-10,11.600000,12.200000,11.140000,11.230000,11.230000,2931700
2023-03-13,12.240000,12.980000,11.750000,12.650000,12.650000,6768700
2023-03-14,13.415000,13.600000,13.210000,13.490000,13.490000,5392700
2023-03-15,13.550000,13.570000,12.700000,13.270000,13.270000,3124700
2023-03-16,13.255000,14.200000,13.190000,14.050000,14.050000,3289700
2023-03-17,14.760000,15.540000,14.660000,15.430000,15.430000,7795900
2023-03-20,16.020000,16.240000,15.780000,16.000000,16.000000,6222900
2023-03-21,16.110001,16.150000,15.560000,16.000000,16.000000,3754800
2023-03-22,16.075001,16.750000,15.060000,15.080000,15.080000,5959100
2023-03-23,15.480000,16.350000,15.300000,16.100000,16.100000,3915400
2023-03-24,15.905000,16.240000,15.620000,16.000000,16.000000,2031300
2023-03-27,15.630000,15.950000,15.010000,15.230000,15.230000,3310300
2023-03-28,15.050000,15.890000,15.020000,15.610000,15.610000,2388600
2023-03-29,16.100000,16.469999,15.780000,15.840000,15.840000,2629200
2023-03-30,16.170000,16.180000,15.400000,15.820000,15.820000,1805400
2023-03-31,15.915000,16.420000,15.910000,16.360001,16.360001,2681000
2023-04-03,16.340000,16.459999,15.830000,16.049999,16.049999,2094900
